No.,Time,Source,Destination,Protocol,Length,Payload,CmdType,SeqNo,Header,Body
1,2026-01-20 15:29:18.519947000,192.168.0.79,192.168.10.3,UDP,55,c5:6d:00:00:2b:00:e6:60:01:01:01:00:38:39:30:31:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:36:32:39:30:30:30:30:30:31:20:20:20,89,1,c5 6d 00 00 2b 00 e6 60 01 01 01 00,8901690004002700496327042601201629000001   
2,2026-01-20 15:29:19.680109100,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e7:46:01:00:01:00:4f:4b,OK,1,00 00 c5 6d 02 00 e7 46 01 00 01 00,OK
3,2026-01-20 15:29:23.392345000,192.168.10.3,192.168.0.79,UDP,50,00:00:c5:6d:26:00:89:be:01:01:d4:04:37:36:30:31:30:32:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:36:32:39:30:20,76,1236,00 00 c5 6d 26 00 89 be 01 01 d4 04,7601026900040027004963270426012016290 
4,2026-01-20 15:29:23.404476400,192.168.0.79,192.168.10.3,UDP,18,00:00:c5:6d:06:00:98:f5:01:00:d4:04:66:36:30:30:30:31,f6,1236,00 00 c5 6d 06 00 98 f5 01 00 d4 04,f60001
5,2026-01-20 15:29:23.410489000,192.168.0.79,192.168.10.3,UDP,140,c5:6d:00:00:80:00:f6:b7:01:01:c9:00:38:30:42:32:32:36:30:31:32:30:31:33:32:39:32:36:30:31:32:30:31:36:30:39:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:30:32:30:31,80,201,c5 6d 00 00 80 00 f6 b7 01 01 c9 00,80B2260120132926012016090555000500000500RZA   Z10050                                                    000069000400270049630201
6,2026-01-20 15:29:24.711858900,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:1f:46:01:00:c9:00:4f:4b,OK,201,00 00 c5 6d 02 00 1f 46 01 00 c9 00,OK
7,2026-01-20 15:29:34.722325600,192.168.0.79,192.168.10.3,UDP,55,c5:6d:00:00:2b:00:f6:83:01:01:02:00:38:39:30:32:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:36:32:39:30:30:30:30:30:31:20:20:20,89,2,c5 6d 00 00 2b 00 f6 83 01 01 02 00,890251330400682001  25112601201629000001   
8,2026-01-20 15:29:35.702196100,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e6:46:01:00:02:00:4f:4b,OK,2,00 00 c5 6d 02 00 e6 46 01 00 02 00,OK
9,2026-01-20 15:30:24.647335300,192.168.10.3,192.168.0.79,UDP,24,00:00:c5:6d:0c:00:2c:5c:01:01:d5:04:33:32:32:36:30:31:32:30:31:36:33:30,32,1237,00 00 c5 6d 0c 00 2c 5c 01 01 d5 04,322601201630
10,2026-01-20 15:30:24.655137900,192.168.0.79,192.168.10.3,UDP,16,c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30,b2,0,c5 6d 00 00 04 00 a3 2e 01 01 00 00,b200
11,2026-01-20 15:30:25.741152300,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b,OK,0,00 00 c5 6d 02 00 e8 46 01 00 00 00,OK
12,2026-01-20 15:31:26.117102900,192.168.10.3,192.168.0.79,UDP,50,00:00:c5:6d:26:00:98:e1:01:01:d6:04:37:36:30:32:30:32:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:32:35:31:31:32:36:30:31:32:30:31:36:32:39:30:20,76,1238,00 00 c5 6d 26 00 98 e1 01 01 d6 04,76020251330400682001  251126012016290 
13,2026-01-20 15:31:26.124352100,192.168.0.79,192.168.10.3,UDP,18,00:00:c5:6d:06:00:96:f4:01:00:d6:04:66:36:30:30:30:32,f6,1238,00 00 c5 6d 06 00 96 f4 01 00 d6 04,f60002
14,2026-01-20 15:31:26.125874000,192.168.0.79,192.168.10.3,UDP,140,c5:6d:00:00:80:00:05:e6:01:01:ca:00:38:30:42:32:32:36:30:31:32:30:31:33:33:31:32:36:30:31:32:30:31:36:31:31:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:35:31:33:33:30:34:30:30:36:38:32:30:30:31:20:20:30:32:30:32,80,202,c5 6d 00 00 80 00 05 e6 01 01 ca 00,80B2260120133126012016110555000500000500RZA   Z10050                                                    000051330400682001  0202
15,2026-01-20 15:31:26.784157200,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:1e:46:01:00:ca:00:4f:4b,OK,202,00 00 c5 6d 02 00 1e 46 01 00 ca 00,OK
16,2026-01-20 15:31:36.802337500,192.168.0.79,192.168.10.3,UDP,55,c5:6d:00:00:2b:00:c7:59:01:01:03:00:38:39:30:33:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:32:38:30:34:32:36:30:31:32:30:31:36:33:31:30:30:30:30:30:31:20:20:20,89,3,c5 6d 00 00 2b 00 c7 59 01 01 03 00,8903364310229999999628042601201631000001   
17,2026-01-20 15:31:37.802812200,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e5:46:01:00:03:00:4f:4b,OK,3,00 00 c5 6d 02 00 e5 46 01 00 03 00,OK
18,2026-01-20 15:32:27.509684400,192.168.10.3,192.168.0.79,UDP,24,00:00:c5:6d:0c:00:2a:5a:01:01:d7:04:33:32:32:36:30:31:32:30:31:36:33:32,32,1239,00 00 c5 6d 0c 00 2a 5a 01 01 d7 04,322601201632
19,2026-01-20 15:32:27.514881700,192.168.0.79,192.168.10.3,UDP,16,c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30,b2,0,c5 6d 00 00 04 00 a3 2e 01 01 00 00,b200
20,2026-01-20 15:32:27.850449200,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b,OK,0,00 00 c5 6d 02 00 e8 46 01 00 00 00,OK
21,2026-01-20 15:33:30.203237200,192.168.10.3,192.168.0.79,UDP,50,00:00:c5:6d:26:00:68:b7:01:01:d8:04:37:36:30:33:30:32:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:32:38:30:34:32:36:30:31:32:30:31:36:33:31:30:20,76,1240,00 00 c5 6d 26 00 68 b7 01 01 d8 04,7603023643102299999996280426012016310 
22,2026-01-20 15:33:30.209810000,192.168.0.79,192.168.10.3,UDP,18,00:00:c5:6d:06:00:94:f3:01:00:d8:04:66:36:30:30:30:33,f6,1240,00 00 c5 6d 06 00 94 f3 01 00 d8 04,f60003
23,2026-01-20 15:33:30.211130800,192.168.0.79,192.168.10.3,UDP,140,c5:6d:00:00:80:00:d6:b5:01:01:cb:00:38:30:42:32:32:36:30:31:32:30:31:33:33:33:32:36:30:31:32:30:31:36:31:33:30:35:35:35:30:30:30:35:30:30:30:30:30:35:30:30:52:5a:41:20:20:20:5a:31:30:30:35:30:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:20:30:30:30:30:33:36:34:33:31:30:32:32:39:39:39:39:39:39:39:36:30:32:30:33,80,203,c5 6d 00 00 80 00 d6 b5 01 01 cb 00,80B2260120133326012016130555000500000500RZA   Z10050                                                    000036431022999999960203
24,2026-01-20 15:33:30.900568100,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:1d:46:01:00:cb:00:4f:4b,OK,203,00 00 c5 6d 02 00 1d 46 01 00 cb 00,OK
25,2026-01-20 15:33:40.913250600,192.168.0.79,192.168.10.3,UDP,55,c5:6d:00:00:2b:00:e2:63:01:01:04:00:38:39:30:34:36:39:30:30:30:34:30:30:32:37:30:30:34:39:36:33:32:37:30:34:32:36:30:31:32:30:31:36:33:33:30:30:30:30:30:31:20:20:20,89,4,c5 6d 00 00 2b 00 e2 63 01 01 04 00,8904690004002700496327042601201633000001   
26,2026-01-20 15:33:41.902561600,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e4:46:01:00:04:00:4f:4b,OK,4,00 00 c5 6d 02 00 e4 46 01 00 04 00,OK
27,2026-01-20 15:34:30.437581000,192.168.10.3,192.168.0.79,UDP,24,00:00:c5:6d:0c:00:28:58:01:01:d9:04:33:32:32:36:30:31:32:30:31:36:33:34,32,1241,00 00 c5 6d 0c 00 28 58 01 01 d9 04,322601201634
28,2026-01-20 15:34:30.440315800,192.168.0.79,192.168.10.3,UDP,16,c5:6d:00:00:04:00:a3:2e:01:01:00:00:62:32:30:30,b2,0,c5 6d 00 00 04 00 a3 2e 01 01 00 00,b200
29,2026-01-20 15:34:30.952216300,192.168.10.3,192.168.0.79,UDP,14,00:00:c5:6d:02:00:e8:46:01:00:00:00:4f:4b,OK,0,00 00 c5 6d 02 00 e8 46 01 00 00 00,OK
